step,loss,loss_num,loss_order,loss_grammar,grad_norm,logit_max,weight_norm,lr
10,7.8419599533081055,7.8112077713012695,7.988034248352051,7.823891639709473,1.9918652772903442,2.791165351867676,1274.060714115637,2.2e-06
20,7.773332118988037,7.821152210235596,7.798501014709473,7.695001125335693,2.2644729614257812,2.8376448154449463,1274.060043499829,4.2000000000000004e-06
30,7.667398929595947,7.7690043449401855,7.6704325675964355,7.527352333068848,2.059687376022339,2.852011203765869,1274.0588184147518,6.2e-06
40,7.567251682281494,7.795287132263184,7.367985725402832,7.293910503387451,1.8713781833648682,2.869102716445923,1274.0571990133778,8.200000000000001e-06
50,7.3919997215271,7.7807817459106445,7.044722557067871,7.0105366706848145,1.9746633768081665,2.9808461666107178,1274.0546822469905,1.02e-05
60,7.2758708000183105,7.7639994621276855,6.735543727874756,6.732499122619629,1.73312246799469,3.0310192108154297,1274.0512567651542,1.22e-05
70,7.075484752655029,7.7579450607299805,6.44284200668335,6.43487548828125,1.7747923135757446,3.3218441009521484,1274.0469427012315,1.42e-05
80,7.036411285400391,7.713271617889404,6.167113304138184,6.214901447296143,1.4801527261734009,3.6274819374084473,1274.0412903054594,1.62e-05
90,6.808482646942139,7.698446750640869,5.970953464508057,5.9030585289001465,1.6572225093841553,3.9399783611297607,1274.0349402782163,1.8200000000000002e-05
100,6.731130123138428,7.660869598388672,5.741625785827637,5.771639347076416,1.4958386421203613,4.299444675445557,1274.0284348278485,2.0200000000000003e-05
110,6.588033676147461,7.683295249938965,5.740397930145264,5.483066082000732,1.5443090200424194,4.713317394256592,1274.021431660519,2.22e-05
120,6.5142669677734375,7.670220375061035,5.3169755935668945,5.29617977142334,1.4548603296279907,5.2217183113098145,1274.0141439253885,2.4200000000000002e-05
130,6.356609344482422,7.625614166259766,5.181061744689941,5.008906364440918,1.4645752906799316,5.904060363769531,1274.0068807970222,2.6200000000000003e-05
140,6.296176433563232,7.574679374694824,5.344430923461914,4.836648941040039,1.3734818696975708,6.572719573974609,1273.9986181397412,2.8199999999999998e-05
150,6.106472015380859,7.537984848022461,5.01911735534668,4.539538860321045,1.3879475593566895,7.199690341949463,1273.9897013702864,3.02e-05
160,6.081608295440674,7.473657131195068,4.787573337554932,4.397181034088135,1.2698472738265991,7.634552478790283,1273.9802676181794,3.2200000000000003e-05
170,6.05446195602417,7.552055835723877,4.60849142074585,4.341394901275635,1.1457608938217163,8.107783317565918,1273.9691855873677,3.4200000000000005e-05
180,5.633026599884033,7.471571922302246,4.297682285308838,3.8241610527038574,1.3277337551116943,8.392622947692871,1273.9572787636457,3.62e-05
190,5.610406398773193,7.447662353515625,3.9184958934783936,3.686525344848633,1.148780107498169,8.663097381591797,1273.9438001207961,3.82e-05
200,5.480213165283203,7.3293914794921875,4.003605842590332,3.312973737716675,1.1299773454666138,8.815020561218262,1273.9285014291559,4.02e-05
210,5.531088829040527,7.399872303009033,3.8935413360595703,3.341691255569458,0.9597236514091492,8.986029624938965,1273.9121538489878,4.22e-05
220,5.383430480957031,7.332292556762695,3.890373706817627,3.1615211963653564,0.9905642867088318,9.138896942138672,1273.8953035049058,4.4200000000000004e-05
230,5.201871871948242,7.372908115386963,3.6499762535095215,2.9713547229766846,1.0034860372543335,9.178353309631348,1273.877347468656,4.6200000000000005e-05
240,5.240214824676514,7.3184733390808105,3.4617300033569336,2.857356548309326,0.8430240154266357,9.445862770080566,1273.8584033359027,4.82e-05
250,5.240702152252197,7.30902624130249,3.4241974353790283,2.8080601692199707,0.7700889110565186,9.452553749084473,1273.8387932075943,5.02e-05
260,5.022639751434326,7.367054462432861,3.5431714057922363,2.5581815242767334,0.8244285583496094,9.518600463867188,1273.8184361943536,5.22e-05
270,4.917543888092041,7.181615352630615,3.0640082359313965,2.283967971801758,0.8222083449363708,9.655037879943848,1273.7969270383692,5.420000000000001e-05
280,4.789956092834473,7.23396635055542,3.154829502105713,2.197842597961426,0.8149310350418091,9.650737762451172,1273.77502102477,5.620000000000001e-05
290,4.749843120574951,7.12203311920166,2.76692533493042,2.064072847366333,0.737256646156311,9.70730972290039,1273.7519323714444,5.82e-05
